Id,listed price,last sold price,diffrence between prices
47439,799900.0,819000.0,-19100
47440,479950.0,15000.0,464950
47441,839900.0,,839900
47442,809900.0,810000.0,-100
47443,1095000.0,1041000.0,54000
47444,748000.0,511000.0,237000
47445,1499000.0,,1499000
47446,430000.0,,430000
47447,2149000.0,1125000.0,1024000
47448,499000.0,359500.0,139500
47449,569000.0,,569000
47450,850000.0,,850000
47451,350000.0,,350000
47452,319000.0,,319000
47453,465000.0,512000.0,-47000
47454,559000.0,117000.0,442000
47455,299900.0,150000.0,149900
47456,1999999.0,,1999999
47457,450000.0,260000.0,190000
47458,215000.0,111500.0,103500
47459,349900.0,,349900
47460,1475000.0,,1475000
47461,1250000.0,841000.0,409000
47462,1100000.0,,1100000
47463,1649000.0,,1649000
47464,924900.0,697500.0,227400
47465,825000.0,405000.0,420000
47466,1248000.0,825000.0,423000
47467,635000.0,575000.0,60000
47468,17500000.0,,17500000
47469,649000.0,,649000
47470,170000.0,170000.0,0
47471,460000.0,196500.0,263500
47472,329500.0,302000.0,27500
47473,1798000.0,1685000.0,113000
47474,299000.0,245000.0,54000
47475,2095000.0,,2095000
47476,374500.0,206000.0,168500
47477,199900.0,140000.0,59900
47478,259000.0,170000.0,89000
47479,769900.0,465500.0,304400
47480,214900.0,46000.0,168900
47481,196900.0,55000.0,141900
47482,1665000.0,835000.0,830000
47483,645000.0,610000.0,35000
47484,3450000.0,,3450000
47485,499900.0,,499900
47486,795000.0,912500.0,-117500
47487,999000.0,500000.0,499000
47488,1310000.0,,1310000
47489,749000.0,430000.0,319000
47490,550000.0,,550000
47491,318900.0,232600.0,86300
47492,640000.0,,640000
47493,350000.0,207000.0,143000
47494,709000.0,,709000
47495,457900.0,420000.0,37900
47496,2495000.0,1950019.0,544981
47497,2100000.0,950000.0,1150000
47498,1255000.0,650000.0,605000
47499,220910.0,,220910
47500,329900.0,210000.0,119900
47501,165900.0,144500.0,21400
47502,372000.0,310000.0,62000
47503,299000.0,,299000
47504,314999.0,171500.0,143499
47505,365000.0,253000.0,112000
47506,2950000.0,1425000.0,1525000
47507,1248000.0,227000.0,1021000
47508,410000.0,355000.0,55000
47509,695000.0,,695000
47510,790000.0,129272.0,660728
47511,195000.0,,195000
47512,445000.0,338000.0,107000
47513,269000.0,100000.0,169000
47514,1128000.0,515000.0,613000
47515,274900.0,85000.0,189900
47516,685000.0,,685000
47517,249500.0,170000.0,79500
47518,1588000.0,1500000.0,88000
47519,589000.0,445000.0,144000
47520,1549000.0,,1549000
47521,2098000.0,,2098000
47522,430000.0,,430000
47523,1400000.0,820000.0,580000
47524,549900.0,585000.0,-35100
47525,1299000.0,1625000.0,-326000
47526,430000.0,406000.0,24000
47527,1450000.0,1300000.0,150000
47528,129950.0,,129950
47529,429900.0,,429900
47530,1349000.0,,1349000
47531,2795000.0,1460000.0,1335000
47532,702000.0,,702000
47533,1495000.0,1150000.0,345000
47534,429000.0,,429000
47535,122500.0,,122500
47536,165000.0,,165000
47537,3850000.0,660000.0,3190000
47538,620000.0,275000.0,345000
47539,498000.0,538000.0,-40000
47540,1088000.0,,1088000
47541,549000.0,319000.0,230000
47542,469000.0,389000.0,80000
47543,1375000.0,775000.0,600000
47544,769000.0,390000.0,379000
47545,1595000.0,1200000.0,395000
47546,496000.0,185000.0,311000
47547,695000.0,,695000
47548,1995000.0,1675000.0,320000
47549,0.0,,0
47550,9650000.0,5300000.0,4350000
47551,679000.0,650500.0,28500
47552,318000.0,259000.0,59000
47553,1295000.0,,1295000
47554,325000.0,124220.0,200780
47555,449000.0,310000.0,139000
47556,949000.0,770000.0,179000
47557,470000.0,290000.0,180000
47558,938888.0,,938888
47559,350000.0,,350000
47560,389000.0,320000.0,69000
47561,1449000.0,1065000.0,384000
47562,1288000.0,885000.0,403000
